Date,PROD_SET,Customer_ID,Account_Number,Balance_Amount,Currency,Rate_of_Interest,Maturity_Date,Bank_Branch_Code,Form_Fill_Status
2024-01-01,DEPOSIT,378108,4384604652,69735.24,USD,0.0438,2026-05-06,BRN010,Complete
2024-01-01,DEPOSIT,819227,2734168198,22113.96,USD,0.0498,2028-03-24,BRN003,Error
2024-01-01,DEPOSIT,920627,9828208230,37883.99,USD,0.0365,2025-12-25,BRN003,Complete
2024-01-01,DEPOSIT,564837,7286325602,1096.12,USD,0.0397,2026-05-03,BRN008,Complete
2024-01-01,DEPOSIT,605909,321623220748,10801.32,USD,0.0463,2024-11-14,BRN010,Complete
2024-01-01,DEPOSIT,885699,5659962445,8632.99,EUR,0.0486,2025-12-13,BRN007,Complete
2024-01-01,DEPOSIT,510613,1744749048,1129.42,EUR,0.0144,2027-11-02,BRN006,Complete
2024-01-01,DEPOSIT,862275,2164767909,8721.41,JPY,0.0494,2025-06-24,BRN006,Complete
2024-01-01,DEPOSIT,431029,271285973434,103144.74,USD,0.0251,2024-06-14,BRN006,Complete
2024-01-01,DEPOSIT,541095,445125475584,3702.93,JPY,0.0446,2028-11-10,BRN005,Complete
2024-01-01,DEPOSIT,335452,7580626984,81826.17,JPY,0.0173,2027-04-03,BRN007,Complete
2024-01-01,DEPOSIT,112157,990314483081,11678.25,USD,0.0403,2026-05-10,BRN001,Complete
2024-01-01,DEPOSIT,484589,7448440827,45688.88,USD,0.0169,2028-02-28,BRN005,Complete
2024-01-01,DEPOSIT,162214,616186556201,3071.32,GBP,0.0231,2025-12-31,BRN010,Complete
2024-01-01,DEPOSIT,207922,7592589178,115.4,GBP,0.0435,2028-11-06,BRN002,Complete
2024-01-01,DEPOSIT,500234,435649585840,1898.83,CAD,0.0228,2026-08-21,BRN006,Complete
2024-01-01,DEPOSIT,179127,6464289096,35545.33,USD,0.0416,2028-09-20,BRN004,Complete
2024-01-01,DEPOSIT,886821,1018066947,44515.71,CAD,0.036,2026-04-06,BRN005,Complete
2024-01-01,DEPOSIT,270731,845290196789,7706.32,USD,0.0213,2024-04-24,BRN004,Complete
2024-01-01,DEPOSIT,640807,6752363903,10128.5,GBP,0.0303,2026-12-08,BRN010,Complete
2024-01-01,DEPOSIT,420088,481557642833,3913.16,USD,0.0138,2025-12-07,BRN004,Complete
2024-01-01,DEPOSIT,521561,1828086643,8113.99,EUR,0.0493,2026-06-21,BRN003,Complete
2024-01-01,DEPOSIT,220784,190044469740,8329.57,GBP,0.0395,2027-08-31,BRN004,Complete
2024-01-01,DEPOSIT,662562,761911809808,9335.01,CAD,0.0315,2028-02-15,BRN005,Complete
2024-01-01,DEPOSIT,550568,6275198828,195659.71,USD,0.0444,2024-04-25,BRN003,Complete
2024-01-01,DEPOSIT,372057,3222470577,169356.44,USD,0.0352,2028-01-16,BRN002,Complete
2024-01-01,DEPOSIT,287835,7071148948,4562.07,EUR,0.0222,2024-03-06,BRN001,Complete
2024-01-01,DEPOSIT,993533,896737555176,7056.19,JPY,0.0412,2024-12-03,BRN002,Complete
